"seg_id","year_","district","cosite","roadway","desc_frm","desc_to","aadt","aadtflg","kflg","k100flg","dflg","tflg","countydot","county","mng_dist","begin_post","end_post","kfctr","k100fctr","dfctr","tfctr","shape_leng","geom"
950,2019,"5","797092","79290501","SR-430/MASON AVE","WALKER ST",6500,"S","F","F","F","2","79","Volusia","5",0,1.727,9,0,59,1.5,2786.3976,"010200000024000000B9895AE29FC32341ADFBC786A2263B41BABE0FD76BC323415DA62601CC263B414ED0262722C32341663387BC06273B415BCEA5B076C0234186E81008F3283B416589CED263BF2341215C01C5B8293B419A4352FB19BF2341B3D30FAAF4293B41B3791C86E7BE2341D289045B282A3B41F7031E18DEBD23415B608F3D842B3B417C80EE6369BC234130D9787C4F2D3B414E5E646ABDBB2341670E497D202E3B41390D51B561BB2341F1F5B5C2892E3B41B70DA3A0DABA2341B26323A0142F3B419D4CDCAA2AB92341E4F6CB27DF303B41D1402C0B65B82341596B28BD9B313B416B7EFC15FAB6234140D9944747333B41EEB25F5F7FB62341EACDA8A1C2333B414B72C0662FB523411171734AEA343B415B272E7F73B42341ABE97AE280353B4156B9505193B12341EA03C91F9B373B411D3C1362E3B023414D11E06C1A383B4109E1D1C6B4B023418B54183F42383B41A1D79F648CAF2341B683114751393B41FFAF3A3A29AF234165E3C136B6393B41B4E6C79FE0AE23412E3C2F71093A3B41BF49D39875AE2341E4BB94DEA93A3B41D788600CE7AC23410168947E0D3D3B41207F69A1F6AA23411DE6CB4F07403B41D3FA5B729FAA23413EE76EFF8C403B412106BAA650AA23413943715F1C413B41C74B37B1E0A92341CCEEC9C702423B41D769A45D76A923419BC9371FF5423B41D82AC1F23AA923417CF145BF7C433B4106F4C25D40A8234126C79DCEE6453B4165389E8707A8234191F3FED357463B41809A5AFEC3A72341B804E02FC6463B415CE674D17EA72341C2F8694425473B41"
952,2019,"5","792072","79110045","I-4 WB OFF RAMP","I-4 WB ON RAMP",7000,"C","F","F","W","F","79","Volusia","5",0,0.823,9.5,0,99.9,9.5,1335.8613,"01020000000C00000020EBA96D3F632141DBA678E4F86C39419C6D6E341E6221416939D01B416B39410762D9B41C612141CA8AE1228B693941E7AA7926EB5E21410B2769969A653941C2A4F800655E2141357EE149AE6439418FFCC130375E214194313EB05D643941BEBD6B702E5E21411231254A4E6439415C1FD67B3E5D2141FF3C0DB0C162394193A982D91C5D21418DEDB54C6F62394173BD6DAE055C2141A54BFF1E8060394112859615A75A2141E3C281280F5E3941BB2539E8BF59214103435653855C3941"
972,2019,"5","790527","79090000","N SPRING GARDEN AVE","FLAGLER CO LINE",3900,"F","F","F","F","1","79","Volusia","5",2.376,14.316,9.5,0,59,10.7,19187.2141,"01020000006C0000009C189263AB252141BEFA780803733A4149861CFBAD252141BB2A50430E733A411D91EF22A62621416A12BC0D1A773A417A8CF2648427214158A9A042D07A3A41F2971685E1272141327557CAED7B3A4142D0D11A692821417CB8E4B4F27C3A414CE3174E01292141A60C1C08C87D3A414D9EB27AF8292141D40FEA82D37E3A416B2C616D102B2141A0A9D7B9CA7F3A41A9FA956E0F2C2141C68844E179803A41FA5E43808A2D2141E1ECD6C656813A41A2B43728152F214162F71D833C823A415E2EE22393362141815A0C1E9D863A41FCA8862DF9372141D80FB1C97F873A414A42227D35392141E48409BF5F883A41D061BE9C493A214168CBB92857893A413FFED2F20F3B2141AF0969A1198A3A41BF9CD956A53B2141A0C1A616D38A3A4168976F9D473C2141E3C62D56B88B3A41668522DDD73C214151F4C0BBA28C3A4154ABAFDE353D21411CF0F91D708D3A41200BD189803D2141D53E1DDB558E3A41B151D63FAD3D21411D3EE97C378F3A417BF5F100D33D21418692C90597903A41EC34D252A03E21415B5B785E25983A410FB743FBBF3E21413A1E33D04C993A415708AB3189402141116DC748F7A93A41E04A76EC99402141C3F011A5B0AA3A418F8EAB3192402141ACA92C8E79AB3A415A457F6054402141BAA1290B45AC3A4140BE8422C43F2141C3482F5A4EAD3A41DCB8C5BC2E3F214126361FCBFEAD3A41166C23368B3E214196CCB1349EAE3A41AC00DF15A435214160ADDAFD8EB53A410B7E1B9A883421413563D1C05DB63A41E832358945332141ED0DBEB834B73A4186048C3EA1312141C4CE14DE2AB83A41B8AD2D0CF82C2141EE5A42B2B4BA3A41CDEA1D5E9C2B2141A9F8BF33A9BB3A4165A71F248B2A2141F10F5BAE94BC3A415B7C0A18E9292141C4D2C0E745BD3A41FB03E51E6B292141DCF5D2B0E5BD3A41C4AF58B3B8272141A2D288E165C03A41923EADCA632121416ABC7403CDC93A418E01D94B2E20214194A46B9E86CB3A41A19FA997B91E21415D52B5C15CCD3A417233DC58BD162141D9AF3B9598D63A4138D9066ED0152141D05FE851BED73A419E0B23BD1C152141FDBE7F07BBD83A41B35C36B2AA1421417AE3A4B065D93A41E54526283D1421414E46956D2BDA3A4134F5BA3DD813214179EBFC7F06DB3A41964220DF3011214177D66E4BD0E13A4155185B98AD102141E275FDF21AE33A4176DF31DC1F1021412D98F8CF2DE43A41D9B3E7C23B0F21419A7B48C09BE53A4147B071E5200E21413F5244F203E73A416AF981BB030D2141E141B39335E83A41F0FACC99090C2141539621461AE93A415E6402DE460B21416D73631AC3E93A41593508537CFB20410211E2A624F63A41CBBE2B12AAFA2041D4D347E0D5F63A414831406233FA2041603E59914FF73A41DDEF5094C3F92041F8FA5A8BCDF73A411EA33CAB66F9204150E09D7044F83A41FB40F296FBF82041ED9E3C00E9F83A4171FF9129B5F820415551BC4A6FF93A41FA0B3DE261F820419AE95E4F38FA3A41E94317A42FF820414D83A28904FB3A41F67EA34519F820414227841EB9FB3A4188B9A4BA10F82041EA0775BDCDFC3A4187FBC89D3EF820415B22174476053B4179758E612CF8204106103E2010073B416A847EC602F820418C817580E3073B41C3F5288CA4F720416823D7DD43093B41A86E2E4E14F72041E107E757B00A3B41921FF1FB5FF320417EC85BDAD4133B41D6389B9EC5F22041E84D45FA2A153B41718DCF2C1EF220415323F4C730163B414E7B4AC662F12041C70F95463D173B4144FB58098BF020412C0C910B45183B410EA48B7DCCEF20418FDE70C311193B41BE85758B14EF2041D578E976C5193B415E807D44CCE42041F511F84FCC223B4115FE0C770CE320414110208761243B412D0950CB2BE220415F9B8DB938253B41CE6E2D8334E120418482521054263B411F14948A47E02041D1AFAD4F8E273B415EBBB47979DF2041A089B0BDDF283B41D13FC1C5BDDE2041828B15817E2A3B41AF3E1E6244DE20417E72145CF12B3B41C9AEB4ECDFDD2041F17EDCC2DA2D3B41BB5E9A62C7DC20412653057FCD343B4159315CAD9BD92041022B872A48483B418EE9097373D9204145F300FAE8483B41DC0E0D4BF4D8204160E97CB8F1493B41917EFBDA67D82041ECA5293AC74A3B4121C841B1A0D72041FDF49FB5A04B3B41E8305F86A0D62041D13B1588934C3B410611A909ABD5204157E9EEFA484D3B419C6C03878FD420410C06D7080D4E3B41F01648D013D22041695375AFA14F3B4123111AF193CA204193567C0376543B4172874D8CD8C92041647616A907553B41BE4C14994AC92041C70E2A6982553B41CD3D24A4D7C82041C82423DBEF553B4161527CD467C82041AA2C0A5368563B410A4AD152ADC72041FACF9A0F51573B41"
976,2019,"5","795088","79190000","US-92/SR-600/W ISB","BRENTWOOD  DR",35500,"C","F","F","F","A","79","Volusia","5",8.197,9.619,9,0,59,3.5,2290.8877,"0102000000170000005D8C819D28A323419BE61D1F01033B41F5B86F2517A3234137C7B9A112033B4179E6E5C052A02341755B22EB28063B4126AB223C009F2341F4177A3CA4073B41D82E6D606C9E2341FB3E1C5041083B41F451461CEB9C234154A86E26E0093B41C092AB282E992341F0E02702EA0D3B41B7D26B1B019523417B10024669123B41C501F47BB59423419A5B2148BB123B410BEBC683749423414BAFCD5E06133B411EC022A7459423411BD82A894A133B41878A714E30942341DFC3257B6F133B414E9D471D1C9423417C2AA76D92133B410B0BEEE7F7932341433BA7B5E0133B414F78092EFB922341A4897708FB153B413B527D5FE39123415932C7825F183B41F9F543349F912341DD26DC83E2183B417FF8F9B755912341F8FF71665B193B415A62659401912341205D6CF2D6193B41CC7EDDF1A4902341EE7BD417561A3B412D5DC14E309023410BEBC6E7DA1A3B41193BE1C5398D2341ED4960E3011E3B41EC4FE2C3048D234164E76D00161E3B41"
982,2019,"5","797093","79502000","ENTERPRISE ST","N/A",23500,"S","F","F","F","2","79","Volusia","5",3.339,3.956,9,0,59,4,991.8534,"010200000009000000B1A4DC5DC6642141F06DFAA79829394166BCAD84E56A2141008FA8ECED2839412FC03E82C46B2141AB2347EED4283941D73219EE2A6C2141198D7CA6D3283941B1169F9A5E6D214145F0BFF9D72839419BE271D1CA6F214155DE8EB8E528394176C3B6DD8D732141E44A3D3BFA28394124287E9C5476214101BF469E01293941EE7A69B2087E2141006F81C804293941"
991,2019,"5","790489","79100000","CR-483/CLYDE MORRIS","SR-5A/N NOVA RD",36500,"C","F","F","F","1","79","Volusia","5",27.869,28.922,9,0,59,3.9,1694.2847,"01020000001600000036E84B6F57142341A88DEAA0B7633B41AF40F4846F142341CDE49B7DC3633B41F60D4C7E3B182341156F64E694653B41CB83F47CCF21234114950D5FC26A3B41EFAD48BC942223418CA031CB2B6B3B410FF10F033C2323419CFD815A7C6B3B410AD7A3A0E523234176323822C36B3B41D72FD80D8124234195B88EB9FB6B3B414225AE232F252341E6CAA0A2346C3B41994BAA6ED82523414A5F08D9666C3B41C020E94B8B262341F0130748946C3B41E869C0F02C27234189F02F8ABA6C3B4178D15710F0272341FB5B02D8DF6C3B4167D31188AB2823412600FFF8FD6C3B414D83A2E9AA2923415A46EAED1F6D3B417FA1476CBD2A23417C48F83A3A6D3B41BB0CFFC1D32B234101FBE85C4D6D3B4160048D012E2D2341D6C56DC0656D3B41508D976E422E2341C37E4FEC776D3B41A60D87DD4132234144334F02AD6D3B41B5C2F45DDB372341A4E1946DF26D3B41A4198BD62E38234119575C78F66D3B41"
995,2019,"5","790344","79100000","N/A","N/A",8400,"F","F","F","F","F","79","Volusia","5",0.855,6.411,9.5,0,59,7.8,8939.8957,"0102000000160000009983A0C32E241E41B3EDB4F584D53A41855FEA77F5241E418F8D40B885D53A41DD2571C661FB1E41EF0225D129D63A41ABAE43E547FF1E41B727486839D63A416FD8B6B871021F4180D8D2EB4DD63A41FC1C1FBDD3051F4181CB63756BD63A414089CF1D2B081F4111C479E484D63A417BF65CF6860D1F41168909EACDD63A41A435064DA5111F4170253B6619D73A412657B1C859141F41ADC3D18D4FD73A4132569B3FA6A11F41182312A5EEE23A417A1B9BADF8A51F411E4FCB4750E33A410CE71AC6A5A91F41CFA10C2DACE33A41CEFDD5E37BAE1F414A0C023335E43A41471CB2B115B41F41564ACF58EBE43A4146CEC27E2FB91F41464431CDADE53A41ECDADE4E09BE1F41E1CFF0627DE63A41A837A39675C21F417D923BE451E73A41E49F1964CFC71F41ACA92CF66CE83A417E39B39DE9CB1F412DCC428B5CE93A415B5CE303B3D01F41278579AFB2EA3A4182FE420FB4D81F417E8B4EE2E8EC3A41"
1634,2019,"5","795115","79080000","SR-A1A","SR-430/OAKRIDGE BLVD",18500,"F","F","F","F","1","79","Volusia","5",1.407,2.309,9,0,59,5.9,1450.9464,"01020000000B0000002009FBB6E2F723418AAE0B8B5F1D3B41768D9653E7F72341B75F3EE1821D3B416EDA8C03DBF52341BBF25932DC1F3B41849D629DABF4234109C1AA7226213B416F8099C707F423413F8F51D6DE213B41FCE3BDBA36F323412F19C728D6223B41B70C38B319F22341DA55488130243B417BF5F1E8ECEE2341FF95950AE5273B4104E2758596EA234136EA215AF32C3B41C6A52A7D5CE923419E0C8ECE602E3B41207BBD4B49E923414D11E01C772E3B41"
1639,2019,"5","795187","79260000","S HALIFAX DR","US-92/SR-600/E ISB",9000,"F","F","F","F","F","79","Volusia","5",3.202,5.409,9,0,59,9.9,3548.6087,"01020000001B000000F8FA5A6FF81324417ADE8D91BCF23A4155FB74FC7312244111AB3F1A44F43A41D4EE5711081024417DCEDDB2B6F63A4107B4747DEE07244194A12A8EE2FE3A41B9895A6247022441EBAC163893043B41F9670669F1012441D333BD94EA043B410CE544639A01244149B9FB0434053B416458C5BB4B01244171033E476A053B41417E3652EB0024411F8656F79D053B41D49AE66D57002441B3B5BE38F8053B41149337B0E9FF234146D103E342063B410F971CBF9BFF23414A438DE282063B41EDBC8D553BFF234150A8A76BE0063B41F5D901A725FC23415395B6080E0A3B41A35A445C2BF923413350198B320D3B41CD5834D5C0F7234142E8A04F9E0E3B41DE57E542E8F62341670E497D9A0F3B41F4328A4DDBF52341DE904635BF103B41289D48F05FF32341E8667F387C133B41C44142C480F22341BFD4CF5769143B4108228B1445F2234136204264BB143B41AF777FA41BF223413B6D8D140F153B4157CD7334F2F12341B4CC22B870153B4137DDB2D3BAF12341D76CE5BDD9153B4195287B6B62F12341344B028851163B415F4370AC64ED2341F7E80DAB811A3B41B169A5284FEC2341CB6779CA991B3B41"
1641,2019,"5","792046","79110033","SAXON BLVD WB","I-4/SR-400 EB",7400,"C","F","F","W","F","79","Volusia","5",0,0.302,9,0,99.9,4.4,496.4474,"01020000001300000072A774E84B6721416CCD56C69964394117467A99FF66214118963FD3AB643941A2630725BD66214153414571C4643941734BABA1806621415587DC00EB6439415359144652662141ADA41507146539411AA20AAF52662141817B9ED7D4653941EFE1920B49662141DA54DD7B16663941DF8B2F32276621416D1B4625616639416938656EE8652141723106EAAF663941C79BFCDE996521415BD3BC4BF7663941CE3978363F64214117F032430E68394156B77A3EE8632141390D51915A683941B631760AA863214121AF07F3A16839414ED2FCC16C6321417CEF6F34FC6839414CA4340B5063214163EDEFD034693941670E49D53763214184D382337C6939411FBB0BBC2B6321418B389DBCD96939413C4ED1312E632141C904FC9A2C6A3941F629C74C3A6321415A29047A5F6A3941"
